Student,Course,Day,Hour,Activity Type,Scheduled,Attended
2568,7,Tuesday,14:00,Lecture,1,1
2568,7,Friday,10:00,Lecture,1,1
2568,7,Tuesday,9:00,Workshop,1,1
2568,7,Tuesday,10:00,Workshop,1,0
2568,13,Wednesday,17:00,Lecture,1,1
2568,13,Friday,9:00,Lecture,1,1
2568,13,Monday,17:00,Workshop,1,1
2568,11,Tuesday,16:00,Workshop,1,1
2568,8,Monday,11:00,Lecture,1,1
2568,8,Tuesday,11:00,Lecture,1,1
2568,8,Wednesday,11:00,Lecture,1,1
2568,8,Thursday,11:00,Lecture,1,1
2568,8,Tuesday,17:00,Workshop,1,1
7,18,Thursday,10:00,Lecture,1,1
7,18,Friday,15:00,Lecture,1,1
7,18,Thursday,9:00,Workshop,1,1
7,18,Thursday,10:00,Lecture,1,1
16,1,Friday,14:00,Workshop,1,1
16,2,Monday,10:00,Lecture,1,1
16,2,Tuesday,16:00,Lecture,1,1
2073,7,Tuesday,14:00,Lecture,1,1
2073,7,Friday,10:00,Lecture,1,1
2073,7,Tuesday,9:00,Workshop,1,1
2073,7,Tuesday,10:00,Workshop,1,0
2073,13,Wednesday,17:00,Lecture,1,1
2073,13,Friday,9:00,Lecture,1,1
2073,13,Monday,17:00,Workshop,1,1
2073,11,Tuesday,16:00,Workshop,1,1
2073,8,Monday,11:00,Lecture,1,1
2073,8,Tuesday,11:00,Lecture,1,1
2073,8,Wednesday,11:00,Lecture,1,1
2073,8,Thursday,11:00,Lecture,1,1
2073,8,Tuesday,17:00,Workshop,1,1
1600,7,Tuesday,14:00,Lecture,1,1
1600,7,Friday,10:00,Lecture,1,1
1600,7,Tuesday,9:00,Workshop,1,1
1600,7,Tuesday,10:00,Workshop,1,0
1600,13,Wednesday,17:00,Lecture,1,1
1600,13,Friday,9:00,Lecture,1,1
1600,13,Monday,17:00,Workshop,1,1
1600,11,Tuesday,16:00,Workshop,1,1
55,2,Monday,10:00,Lecture,1,1
55,2,Tuesday,16:00,Lecture,1,1
1226,7,Tuesday,14:00,Lecture,1,1
1226,7,Friday,10:00,Lecture,1,1
1226,7,Tuesday,9:00,Workshop,1,1
1226,7,Tuesday,10:00,Workshop,1,0
1226,13,Wednesday,17:00,Lecture,1,1
1226,13,Friday,9:00,Lecture,1,1
1226,13,Monday,17:00,Workshop,1,1
1226,11,Tuesday,16:00,Workshop,1,1
1226,8,Monday,11:00,Lecture,1,1
1226,8,Tuesday,11:00,Lecture,1,1
1226,8,Wednesday,11:00,Lecture,1,1
1226,8,Thursday,11:00,Lecture,1,1
1226,8,Tuesday,17:00,Workshop,1,1
348,7,Tuesday,14:00,Lecture,1,1
348,7,Friday,10:00,Lecture,1,1
348,7,Tuesday,9:00,Workshop,1,1
348,7,Tuesday,10:00,Workshop,1,0
348,13,Wednesday,17:00,Lecture,1,1
348,13,Friday,9:00,Lecture,1,1
348,13,Monday,17:00,Workshop,1,1
348,11,Tuesday,16:00,Workshop,1,1
1528,7,Tuesday,14:00,Lecture,1,1
1528,7,Friday,10:00,Lecture,1,1
1528,7,Tuesday,9:00,Workshop,1,1
1528,7,Tuesday,10:00,Workshop,1,0
1528,13,Wednesday,17:00,Lecture,1,1
1528,13,Friday,9:00,Lecture,1,1
1528,13,Monday,17:00,Workshop,1,1
1528,11,Tuesday,16:00,Workshop,1,1
1528,8,Monday,11:00,Lecture,1,1
1528,8,Tuesday,11:00,Lecture,1,1
1528,8,Wednesday,11:00,Lecture,1,1
1528,8,Thursday,11:00,Lecture,1,1
1528,8,Tuesday,17:00,Workshop,1,1
66,18,Thursday,10:00,Lecture,1,1
66,18,Friday,15:00,Lecture,1,1
66,18,Thursday,9:00,Workshop,1,1
66,18,Thursday,10:00,Lecture,1,1
66,12,Friday,17:00,Lecture,1,1
66,12,Wednesday,9:00,Workshop,1,1
66,12,Wednesday,10:00,Workshop,1,0
66,11,Tuesday,16:00,Workshop,1,1
66,8,Monday,11:00,Lecture,1,1
66,8,Tuesday,11:00,Lecture,1,1
66,8,Wednesday,11:00,Lecture,1,1
66,8,Thursday,11:00,Lecture,1,1
66,8,Tuesday,17:00,Workshop,1,1
1929,7,Tuesday,14:00,Lecture,1,1
1929,7,Friday,10:00,Lecture,1,1
1929,7,Tuesday,9:00,Workshop,1,1
1929,7,Tuesday,10:00,Workshop,1,0
1929,13,Wednesday,17:00,Lecture,1,1
1929,13,Friday,9:00,Lecture,1,1
1929,13,Monday,17:00,Workshop,1,1
1929,11,Tuesday,16:00,Workshop,1,1
1929,8,Monday,11:00,Lecture,1,1
1929,8,Tuesday,11:00,Lecture,1,1
1929,8,Wednesday,11:00,Lecture,1,1
1929,8,Thursday,11:00,Lecture,1,1
1929,8,Tuesday,17:00,Workshop,1,1
187,18,Thursday,10:00,Lecture,1,1
187,18,Friday,15:00,Lecture,1,1
187,18,Thursday,9:00,Workshop,1,1
187,18,Thursday,10:00,Lecture,1,1
187,12,Friday,17:00,Lecture,1,1
187,12,Wednesday,9:00,Workshop,1,1
187,12,Wednesday,10:00,Workshop,1,0
187,11,Tuesday,16:00,Workshop,1,1
187,8,Monday,11:00,Lecture,1,1
