Student,Course,Day,Hour,Activity Type,Scheduled,Attended
140,5,Monday,14:00,Lecture,1,1
140,5,Tuesday,15:00,Lecture,1,1
140,5,Thursday,15:00,Lecture,1,1
140,5,Friday,15:00,Lecture,1,1
140,5,Tuesday,9:00,Workshop,1,1
140,5,Tuesday,10:00,Workshop,1,0
143,5,Monday,14:00,Lecture,1,1
143,5,Tuesday,15:00,Lecture,1,1
143,5,Thursday,15:00,Lecture,1,1
143,5,Friday,15:00,Lecture,1,1
143,5,Tuesday,9:00,Workshop,1,1
143,5,Tuesday,10:00,Workshop,1,0
300,5,Monday,14:00,Lecture,1,1
300,5,Tuesday,15:00,Lecture,1,1
300,5,Thursday,15:00,Lecture,1,1
300,5,Friday,15:00,Lecture,1,1
300,5,Tuesday,9:00,Workshop,1,1
300,5,Tuesday,10:00,Workshop,1,0
408,6,Tuesday,13:00,Lecture,1,1
408,6,Wednesday,13:00,Lecture,1,1
408,6,Thursday,13:00,Lecture,1,1
408,6,Friday,13:00,Lecture,1,1
408,6,Monday,9:00,Workshop,1,1
408,6,Monday,10:00,Workshop,1,0
469,5,Monday,14:00,Lecture,1,1
469,5,Tuesday,15:00,Lecture,1,1
469,5,Thursday,15:00,Lecture,1,1
469,5,Friday,15:00,Lecture,1,1
469,5,Tuesday,9:00,Workshop,1,1
469,5,Tuesday,10:00,Workshop,1,0
740,5,Monday,14:00,Lecture,1,1
740,5,Tuesday,15:00,Lecture,1,1
740,5,Thursday,15:00,Lecture,1,1
740,5,Friday,15:00,Lecture,1,1
740,5,Tuesday,9:00,Workshop,1,1
740,5,Tuesday,10:00,Workshop,1,0
786,6,Tuesday,13:00,Lecture,1,1
786,6,Wednesday,13:00,Lecture,1,1
786,6,Thursday,13:00,Lecture,1,1
786,6,Friday,13:00,Lecture,1,1
786,6,Monday,9:00,Workshop,1,1
786,6,Monday,10:00,Workshop,1,0
839,5,Monday,14:00,Lecture,1,1
839,5,Tuesday,15:00,Lecture,1,1
839,5,Thursday,15:00,Lecture,1,1
839,5,Friday,15:00,Lecture,1,1
839,5,Tuesday,9:00,Workshop,1,1
839,5,Tuesday,10:00,Workshop,1,0
840,6,Tuesday,13:00,Lecture,1,1
840,6,Wednesday,13:00,Lecture,1,1
840,6,Thursday,13:00,Lecture,1,1
840,6,Friday,13:00,Lecture,1,1
840,6,Monday,9:00,Workshop,1,1
840,6,Monday,10:00,Workshop,1,0
849,15,Monday,15:00,Lecture,1,1
849,15,Monday,16:00,Workshop,1,1
